DIA - GRUPO;EXERCICIO;REPETIÇOES;IMAGE
Segunda – Treino A (peito e tríceps);Supino reto com barra;3 séries de 8-10 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2016/11/incline-barbell-bench-press-resized.png?ezimgfmt=ng%3Awebp%2Fngcb4
Segunda – Treino A (peito e tríceps);Supino inclinado com halteres;3 séries de 10-12 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2016/11/incline-dumbbell-bench-press-resized.png?ezimgfmt=ng%3Awebp%2Fngcb4
Segunda – Treino A (peito e tríceps);Crucifixo com halteres;3 séries de 12-15 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2022/05/Hyght-dumbbell-fly.png?ezimgfmt=ng%3Awebp%2Fngcb4
Segunda – Treino A (peito e tríceps);Paralelas;3 séries de 10-12 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2017/08/assisted-triceps-dip-resized-1.png?ezimgfmt=ngcb4/notWebP
Segunda – Treino A (peito e tríceps);Tríceps testa;3 séries de 10-12 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2019/01/Lying-cable-triceps-extension-resized.png?ezimgfmt=ngcb4/notWebP
Segunda – Treino A (peito e tríceps);Tríceps corda;3 séries de 12-15 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2019/01/Lying-cable-triceps-extension-resized.png?ezimgfmt=ngcb4/notWebP
Terça – Treino B (costas e bíceps);Barra fixa pronada;3 séries de 8-10 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2022/05/Weighted-close-neutral-grip-pull-up.png?ezimgfmt=ng%3Awebp%2Fngcb4
Terça – Treino B (costas e bíceps);Remada curvada com barra;3 séries de 10-12 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2016/10/Bent-over-barbell-row.png?ezimgfmt=ng%3Awebp%2Fngcb4
Terça – Treino B (costas e bíceps);Puxada alta na polia;3 séries de 12-15 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2017/01/Lat-pull-down-resized.png?ezimgfmt=ng%3Awebp%2Fngcb4
Terça – Treino B (costas e bíceps);Rosca direta com barra;3 séries de 10-12 repetições;https://cdn-0.weighttraining.guide/wp-content/uploads/2021/03/Barbell-drag-curl.png?ezimgfmt=ng%3Awebp%2Fngcb4
